ID,Word,Meaning,Etymology,Derived
334,flow,流れる；(～から)生じる(from),fleu(流れる)が語源,flower(花 [開花・流出]) / fluid(流体)
335,bore, (人)を退屈させる，うんざりさせる,bore(穴を掘る) → 穴を掘り続けるような退屈な作業,boredom(退屈) / boring(退屈な)
336,complain, (と)不平［苦情］する；訴える,con(強く) + plangere(胸を叩いて嘆く) → 強い不満を口にする,complaint(苦情・不満)
337,host,を主催する；のホスト役を務める,hospes(客・もてなす人)が語源,hostess(女性のホスト) / hospitality(歓待)
338,combine,を(～と)結び付ける(with)；(～と)結び付く(with),com(共に) + bini(2つずつ) → 2つのものを1つに合わせる,combination(組み合わせ・結合)
339,extend,を伸［延］ばす；伸びる；及ぶ,ex(外へ) + tend(伸ばす) → 外に向かって伸ばす,extension(延長・拡張) / extensive(広大な)
340,appreciate,を正当に評価する；を鑑賞する；を感謝する,ad(〜へ) + pretium(価格・価値) → 価値を正しく認める,appreciation(感謝・鑑賞・評価) / appreciative(感謝している)
341,target, (到達・攻撃)目標；的,targa(盾・小標的)が語源 → 狙いを定める的,targeted(対象を絞った)
342,element,要素，成分；元素；〔an / ofで〕少しの,elementum(基本原理・元素)が語源,elementary(初歩の・基本の)
343,principle,原則，原理；主義，信条,princeps(第一の・始めの)が語源 → 根本となるもの,principled(主義・信条のある)
344,phenomenon,現象,pheno(現れる)が語源 → 目に見える現象,phenomenal(驚異的な・現象の)
345,atmosphere,〔the ～〕大気；雰囲気,atmo(蒸気) + sphere(球体) → 空気を包む層,atmospheric(大気の)
346,origin,起源；源,ori(起き上がる・生じる)が語源 → 生まれ出た根源,original(最初の・独自の) / originate(起こる・始まる)
347,personality,個性，性格,persona(仮面・人格) + ality → その人らしさ,personal(個人の) / personalize(個人化する)
348,capacity, (最大)容量，収容能力；(潜在)能力,cap(掴む・受け入れる) → 受け入れられる量・能力,spacious(広々とした)
349,profit,利益；収益(率)；得,pro(前方へ) + fit(作る) → 生み出された得・利益,profitable(利益が出る) / unprofitable(儲からない)
350,circumstance,〔通例～s〕状況，事情；境遇,circum(周り) + stance(立つ) → 周囲に立っている状況,circumstantial(状況による)
351,manner,〔～s〕作法；方法；物腰,manus(手) → 手の動かし方・立ち振る舞い,mannerly(礼儀正しい)
352,threat,脅威；(悪い)兆し；脅迫,trud(押しつける・脅す)が語源,threaten(脅かす) / threatening(脅迫的な)
353,resident,居住者；滞在者,re(後ろに) + sid(座る・とどまる) → 住み着いている人,residence(住宅・居住) / residential(住宅の)
354,wealth,富；資源；富裕,weal(幸福・良さ)が語源 → 豊かな状態,wealthy(裕福な)
355,institution,機関；協会；施設；制度,in(中に) + statu(立てる) → 社会の中に打ち立てられた制度・施設,institutional(制度上の) / institute(研究所・設立する)
356,authority,〔通例 the ～s〕(関係)当局；権威；権限,aug(増やす・生み出す) → 権威を持つ者,authorize(権限を与える) / authoritative(権威ある)
357,vote,投票；投票結果；〔the ～〕選挙権,votum(誓い・願い)が語源 → 意志を表示する,voter (投票者)
358,sight,光景；〔the ～s〕名所；見(え)ること；視野；視力,see(見る)と同語源 → 見えること・光景,sightseeing(観光)
359,campaign,運動；軍事行動,camp(平原・陣営)が語源 → 平原での戦い・運動,campaigner(運動家)
360,fund,〔しばしば～s〕基金，資金,fundus(底・基礎)が語源 → 基礎となる資金,funding(資金調達) / refund(返金する)
361,web,〔the W-〕ウェブ；(クモの)巣,weave(織る)と同語源 → 網目状に織られたもの,webbing(クモの巣状の構造)
362,symbol,象徴，シンボル；記号；標章,syn(共に) + bol(投げる) → 2つのものを結びつける記号,symbolic(象徴的な) / symbolize(象徴する)
363,analysis,分析(結果),ana(分解して) + lys(解く) → 解きほぐして調べること,analyze(分析する) / analyst(分析家)
364,version, (本・製品などの)版；解釈,vert(回転する・変える) → 改変して作られた版,versatile(多才な)
365,perspective,観点，見方；大局観；遠近法,per(通して) + spect(見る) → 通して見通す視点,perspicacious(洞察力のある)
366,crisis,危機,cern(判別する・岐路)が語源 → 運命の分かれ目,critical(危機的な・批判的な)
367,disaster,災害；惨事,dis(不吉な) + aster(星) → 凶星がもたらす大惨事,disastrous(壊滅的な)
368,lecture,講義，講演；説教,lect(読む)が語源 → 読み聞かせる講義,lecturer(講師)
369,psychology,心理学；心理(状態),psyche(心・魂) + logy(学問),psychologist(心理学者) / psychological(心理的な)
370,gender, (社会的・文化的)性，性別,gen(生み出す・種類)が語源 → 生物学的でない社会的区分,engender(生み出す)
371,custom, (社会的な)慣習；〔 customs〕税関；〔 customs〕関税,suus(自分のもの)が語源 → 定着した習慣,customary(習慣的な) / customer(顧客)
372,court,裁判所，法廷；裁判；宮廷；中庭,hortus(囲まれた中庭)が語源 → 人が集まる公の場,courteous(礼儀正しい) / courtesy(礼儀)
373,desert,砂漠；不毛の地,de(離れて) + sert(結ぶ) → 見捨てられた見渡す限りの地,deserted(見捨てられた)
374,soil,土地，土壌；(悪事などの)温床,solum(底・土)が語源,soilless(土を使わない)
375,agriculture,農業；農学，畜产,ager(畑) + culture(耕作) → 畑を耕すこと,agricultural(農業の) / agriculturist(農学者)
376,fossil,化石；時代遅れの人［物］,foss(掘る)が語源 → 地中から掘り出されたもの,fossilize(化石化する)
377,document, (公)文書，書類；記録，資料,doc(教える・示す)が語源 → 事実を示す書類,documentary(記録映画・文書の) / documentation(文書化)
378,vocabulary,語彙,voc(声・言葉)が語源 → 言葉の集まり,vocal(声の)
379,intelligent,聡明な；知能を有する,inter(の間に) + leg(選ぶ・理解する) → 物事の違いを正しく理解できる,intelligence(知能・情報) / intelligently(知的に)
380,conscious,意識して，気づいて,con(共に) + sci(知る) → はっきりと自知している,consciousness(意識) / unconscious(無意識の)
381,capable,能力がある；有能な,cap(掴む・受け入れる) → 捉える能力がある,capability(能力) / capably(巧みに)
382,accurate,正確な；精密な,ad(〜へ) + cure(注意・お手入れ) → 注意深く手入れされた正確さ,accuracy(正確さ) / accurately(正確に)
383,fundamental,基本的な；必須の,fundus(底・基礎)が語源 → 土台となる,fundamentally(根本的に)
384,artificial,人工の；不自然な,art(技術) + fic(作る) → 人の技術で作られた,artificially(人工的に) / artifact(人工物)
385,firm,確固たる；堅固な；安定した,firmus(強い・確実な)が語源,firmly(堅く) / affirm(断言する)
386,overall,総合的な；全体的な,over(覆って) + all(すべて) → すべてを覆う全体の,
387,rural,田舎の，田園の,rus(開放地・田舎)が語源,rustic(素朴な・田舎風の)
388,military,軍の，軍事(用)の,miles(兵士)が語源,militant(攻撃的な) / militarism(軍国主義)
389,nuclear,核の，原子力の,nux(核・ナッツ)が語源,nucleus(原子核・中心)
390,biological,生物学(上)の,bio(生命) + logy(学問),biology(生物学) / biologist(生物学者)
391,constant,絶え間ない；一定の,con(共に) + sta(立つ) → 崩れず立ち続ける,constantly(絶えず) / constancy(恒常性)
392,severe, (人・規律・事態・天気などが)厳しい；猛烈な,severus(厳しい)が語源,severely(厳しく) / severity(厳しさ)
393,visual,視覚の；目に見える,vid(見る)が語源,visualize(視覚化する) / visually(視覚的に)
394,enormous,莫大な，巨大な,e(外へ) + norma(基準) → 基準を大きく外れたデカさ,enormously(非常に) / enormity(膨大さ・暴挙)
395,convenient,便利な，都合のいい,con(共に) + vent(来る) → 手元にぴったりやってくる,convenience(便利さ) / conveniently(便利に)
396,domestic,家庭の；国内の；(動物が)飼いならされた,domus(家)が語源,domesticate(飼いならす) / domestically(国内で)
397,mass,大規模な，大量の；大衆(向け)の,massa(大きな塊)が語源,massive(巨大な) / massify(大衆化する)
398,typical,典型的な；(～に)特有の(of),typos(型・印)が語源,typically(典型的に) / typify(象徴する)
399,overseas,海外へ［に，で］,over(超えて) + sea(海) → 海を越えた向こうへ,
400,nevertheless,それにもかかわらず,never(決して〜ない) + the + less(より少なく) → それでもなお,
401,demonstrate,を論証［証明］する；デモをする,de(完全に) + monstr(示す) → はっきりと目に見える形に示す,demonstration(実演・デモ) / demonstrative(指示的な)
402,behave,振る舞う；作動する,be(〜の状態で) + have(持つ) → 自分自身を一定の状態で持つ,behavior(行動・振る舞い) / behavioral(行動の)
403,educate,を教育する；に教える；(能力など)を養う,e(外へ) + duc(導く) → 内なる能力を外に引き出す,education(教育) / educational(教育の)
404,purchase,を購入する,pur(前に) + chase(追う) → 追い求めて手に入れる,purchaser(購入者)
405,recommend,を勧める,re(強く) + commend(託す・ほめる) → 強く薦める,recommendation(推薦・勧告)
406,admit,(を)(しぶしぶ)認める；に(～への)入場［入学など］を認める(to / into),ad(〜へ) + mit(送る) → 中に入ることを許して送る,admission(入場許可・承認) / admittedly(自白すると)
407,generate,を生み出す；(電気など)を発生させる,gen(生み出す)が語源,generation(世代・発生) / generator(発電機)
408,explore,(を)調査［探究］する；(を)探検［探査］する,ex(外へ) + plor(叫ぶ) → 叫び声をあげて獲物を探しまわる,exploration(探検・調査) / explorer(探検家)
409,amaze,をびっくりさせる,a(〜にする) + maze(迷路) → 迷路に迷い込んだように茫然とさせる,amazement(驚き) / amazing(驚くべき)
410,tear,を引き裂く；裂ける,tar(引き裂く)が語源,tearful(涙ぐんだ)
411,settle,を解決する；(に)移り住む；を落ち着かせる,set(座らせる)が語源 → 場所を定めて落ち着かせる,settlement(解決・定住) / settler(開拓者・定住者)
412,afford,を持つ［する］余裕がある；を与える,a(〜へ) + forth(前方へ) → 前に押し出す余裕がある,affordable(手頃な価格の)
413,conclude,と結論づける；を締めくくる；を締結する,con(完全に) + clude(閉じる) → 最後に枠を閉じる,conclusion(結論) / conclusive(決定的な)
414,advertise,を宣伝する；(～を求める)広告を出す(for),ad(〜へ) + vert(向ける) → 人々の意識をそちらに向ける,advertisement(広告) / advertiser(広告主)
415,encounter,に遭遇する；に(思いがけず)出会う,en(〜の中に) + counter(反対・向かい合って) → 思いがけず対面する,
416,remind,に思い出させる,re(再び) + mind(心) → 心の中に再び呼び起こす,reminder(思い出させるもの・助言)
417,locate,〔受身形で〕位置する；の位置を探し当てる,locus(場所) + ate(動詞化) → 場所を特定する,location(位置・場所)
418,aid,を援助する，助ける,ad(〜へ) + iuvo(助ける) → 手を差し伸べて助ける,
419,bite,(を)かむ，(に)かみつく；(を)刺す,bit(噛む・小さな片)が語源,bitter(苦い)
420,deliver,を配達する；(演説・講義)をする；子を産む,de(離れて) + liber(自由にする) → 解放して引き渡す,delivery(配達・引き渡し)
421,perceive,に気づく；を知覚する；を理解する,per(完全に) + ceip(掴む) → 五感を通じて完全に把握する,perception(知覚・認識) / perceptive(洞察力のある)
422,distinguish,を区別する,dis(離れて) + sting(刺す) → 印を刺して別物と区別する,distinction(区別・卓越) / distinctive(独特の)
423,imply,を暗に意味する；を必然的に伴う,in(内に) + ply(折り込む) → 言葉の中に意味を折り込む,implication(含意・影響) / implicit(暗黙の)
424,handle,を処理する，扱う；を論じる；を商う,hand(手) + le(道具・動作) → 手で触れて適切に扱う,handler(取扱者)
425,praise,を(～のことで)賞賛する(for)；賛美する,price(価格・価値)と同語源 → 価値を高く認める,praiseworthy(称賛に値する)
426,appeal,訴える；抗議する；(上級審に)上訴する,ad(〜へ) + pell(押す・駆動する) → 心を揺さぶるように迫る,appealing(魅力的な)
427,insist,(を)強く主張する；要求する,in(上に) + sist(立つ) → 譲らずその場に立ち続ける,insistence(主張) / insistent(しつこい)
428,compete,競う；〔通例否定文で〕(～に)匹敵する(with),com(共に) + pet(求める) → 同じものを求めて競い合う,competition(競争) / competitive(競争力のある)
429,rank,を位置づける，評価する；(ある地位に)位置する,ring(輪・並び)と同語源 → 秩序ある列に置く,ranking(順位)
430,deny,を否定する；を拒む,de(完全に) + ne(〜ない) → 完全に打消す,denial(否定・拒絶)
431,reject,を拒否する,re(後ろへ) + ject(投げる) → 受け入れずに投げ返す,rejection(拒絶)
432,intend,を意図する,in(〜に向けて) + tend(伸ばす) → 心をそちらに向ける,intention(意図) / intentional(意図的な)
433,expose,をさらす；を暴露する；を露出する,ex(外へ) + pose(置く) → 外に晒して見せる,exposure(暴露・露出)
434,favor,に賛成する；を好む；をひいきする,faveo(好む・支持する)が語源,favorable(好意的な) / favorite(お気に入りの)
435,inspire,(人)を奮起させる；を喚起する,in(中に) + spir(息を吹き込む) → 精神や感情に息を吹き込む,inspiration(ひらめき・霊感)
436,propose,を提案する；をもくろむ；結婚を申し込む,pro(前方へ) + pose(置く) → 前に案を提示する,proposal(提案) / proposition(主張・提案)
437,spell,(語)をつづる；という語になる,spell(語る・物語)が語源,spelling(綴り)
438,breathe,呼吸する；を吸う,breath(息)の動詞形,breathless(息切れした)
439,repair,を修理する；を修復する,re(再び) + pare(整える) → 再び元通りの状態に整える,reparable(修理できる)
440,consist,(～から)成る(of)；(～に)ある(in),con(共に) + sist(立つ) → 共に組み合わさって立つ,consistent(一貫した)
441,comment,意見，コメント；批判,con(共に) + ment(心・考える) → 考えて口に出す意見,commentary(解説) / commentator(解説者)
442,instruction,〔通例～s〕指示；〔～s〕(製品の)使用書,in(中に) + stru(組み立てる) → 頭の中に知識を組み立てる,instructive(教育的な) / instructor(指導者)
443,religion,宗教；信条；信仰(心),re(再び) + lig(結ぶ) → 神と人とを強く結びつけるもの,religious(宗教の・熱心な)
444,neighborhood,地域；近所,neighbor(隣人) + hood(集まり・状態),neighboring(近隣の)
445,laboratory,実験室，研究室,labor(働く) + ory(場所) → 作業・研究を行う場所,labor(労働)
446,presence,存在；出席；面前,pre(前に) + ess(存在する) → 前に存在すること,present(出席している・現在の)
447,confidence,自信；信頼；秘密,con(強く) + fid(信用する) → 強く信じ切ること,confident(確信して) / confidential(秘密の)
448,harm,害，損害,herme(傷つける)が語源,harmful(有害な) / harmless(無害な)
449,instrument,器具；楽器,in(中に) + stru(組み立てる) → 作作業のために組み立てられた道具,instrumental(役に立つ・楽器の)
450,category,部類，区分；範疇,cata(下に) + agora(広場・裁判) → 分類して位置づけられた区分,categorical(絶対的な・明確な)
451,capital,資本；首都；大文字,capit(頭)が語源 → 最も重要な中心地・資金,capitalism(資本主義) / capitalize(資本化する)
452,outcome,結果；成果,out(外へ) + come(来る) → 行動の末に出てきた結果,
453,notion,概念，観念；見解；意向,not(知る)が語源 → 頭の中で知っている概念,notional(観念的な)
454,review,(書物などの)論評；再調査；【米】復習,re(再び) + view(見る) → もう一度見直すこと,reviewer(批評家)
455,trait,特性,tract(引く) → 引かれた線・際立つ特徴,
456,diversity,多様性；相違点,di(離れて) + vert(向く) → 様々な方向に向いていること,diverse(多様な) / diversify(多様化する)
457,victim,犠牲(者)，被害者,victima(生け贄)が語源,victimize(犠牲にする)
458,occasion,場合，時；行事；機会,ob(〜に向かって) + cad(落ちる) → 出来事がふと降りかかる時,occasional(時々の) /客 観的(occasionality)
459,facility,施設，設備；機能；才能,fac(作る・行う) + il(容易な) → 物事を容易に行える場所・手腕,facilitate(容易にする)
460,stock,在庫品；蓄え；株,stick(木・幹)と同語源 → 幹のように蓄えられた土台,stockholder(株主)
461,conference,会議；協議,con(共に) + fer(運ぶ) → 意見を持ち寄って話し合う場,confer(協議する)
462,humanity,人類；人間性；人情；〔(the) ～s〕人文科学,homo(人間)が語源,humane(思いやりのある) / humanize(人間らしくする)
463,dialect,方言,dia(間) + lect(話す) → 特定の地域の人々の間で話される言葉,dialectal(方言の)
464,proportion,割合；部分；釣り合い,pro(〜に応じた) + portion(部分) → 部分に応じた釣り合い,proportional(比例した)
465,tip,助言，秘訣；チップ；先端,tip(頂点・突き出る)が語源,tiptoe(つま先)
466,lawyer,弁護士,law(法律) + yer(携わる人),
467,stuff,(漠然と)物；素材；素質,stuf(詰める)が語源 → 中に詰め込まれたもの,stuffy(風通しの悪い・息苦しい)
468,comfort,快適さ；慰め,con(強く) + fort(強い) → 心を強く励まして安心させる,comfortable(快適な) / comforting(慰めになる)
469,philosophy,哲学；原理；人生観,philo(愛する) + sophia(智慧) → 智慧を愛する学問,philosophical(哲学的な) / philosopher(哲学者)
470,mammal,哺乳動物,mamma(おっぱい)が語源 → 母乳で育つ動物,mammalian(哺乳類の)
471,quantity,量；分量,quantis(どれほど)が語源 → 数量的な大きさ,quantitative(数量的な)
472,landscape,風景；領域；状況,land(土地) + scape(形づくる) → 土地が織りなす景色,
473,tribe,部族；仲間,tri(3) + bu(住む) → 古代ローマの3つの部族が語源,tribal(部族の)
474,organ,器官，臓器；組織；(パイプ)オルガン,erg(働く)が語源 → 特定の働きをする器官・道具,organic(有機的な・オーガニックの)
475,trial,試み，(品質・性能などの)試験；裁判；試用期間,try(試す)の名詞形,
476,norm,規範；標準,norma(大工の定規)が語源 → 基準・標準となるルール,normal(通常の) / normalize(標準化する)
477,code,規範；暗号；法典,codex(木片・冊子)が語源 → 木版に書かれた法律や規定,encode(暗号化する)
478,substance,物質；実体；趣旨,sub(下に) + stance(立つ) → 底で支えている実体・物質,substantial(かなりの・実質的な)
479,multiple,多様な；種々雑多な,multi(多くの) + ple(折る) → 折り重ねられた多くの,multiply(増やす) / multiplicity(多様性)
480,numerous,非常に数の多い,numer(数)が語源 → 数が多い,numerical(数字の)
481,narrow,狭い；細い；限られた,near(近い)と同語源 → 幅が狭まっている,narrowly(かろうじて・狭く)
482,widespread,広範囲にわたる；広く普及した,wide(広く) + spread(広がる),
483,sufficient,(～に；…するのに)十分な(for；to do),sub(下に) + fic(作る) → 下を満たすほど十分にある,sufficiency(十分さ) / sufficiently(十分に)
484,proper,適切な；正式の；〔名詞の後ろで〕主要な；(～に)固有の(to),proprius(自分独自の・適した)が語源,properly(適切に)
485,linguistic,言語の，言語学の,lingua(舌・言語)が語源,linguistics(言語学) / linguist(言語学者)
486,annual,年1回の，例年の；1年間の,ann(年)が語源 → 1年に一度の,annually(毎年)
487,contemporary,現代の；同時代の；同年輩の,con(共に) + tempor(時間) → 同じ時代を共有する,
488,contrary,(～と)反対の(to),contra(反対に)が語源,contrast(対照)
489,strict,(規則などが)厳しい；厳格な,string(きつく縛る)が語源,strictly(厳格に) / strictness(厳しさ)
490,civil,市民の；民間の；民事の,civis(市民)が語源,civic(市民の) / civilization(文明)
491,odd,奇妙な；奇数の,oddi(余りの角)が語源 → 割り切れず余った・変わった,oddity(奇妙さ) / odds(見込み・確率)
492,unknown,不明の；(～に)知られていない(to)，無名の,un(打ち消し) + known(知られた),
493,superior,よりすぐれた,super(上に)の比較級 → 他より上にある,superiority(優越)
494,sensitive,敏感な；神経質な；微妙な,sens(感じる) + itive → 感じ取りやすい,sensitivity(感度・敏感さ) / sensory(感覚の)
495,violent,(人・気質などが)激しい；暴力的な,vis(力)が語源 → 力づくで荒々しい,violence(暴力) / violently(激しく)
496,virtual,仮想の；事実上の,virtus(美徳・能力) → 実質的な効力を持つ,virtually(実質的に・事実上)
497,regardless,(～に)かまわない，無頓着な(of),regard(考慮する) + less(〜ない) → 考慮に入れない,
498,immediate,即座の；当面の；すぐそばの；直接の,in(打ち消し) + media(間) → 間に何もなく直結している,immediately(直ちに)
499,crucial,重要な,crux(十字架・決定打)が語源 → 運命を分ける重大な,crucially(決定的に)
500,somewhat,いくぶん，多少,some(いくらかの) + what(こと),
501,interpret,を解釈する；(を)通訳する,inter(の間に) + pret(密売・説明) → 2つのものの間に立ち意味を説明する,interpretation(解釈・通訳) / interpreter(通訳者)
502,translate,を翻訳する；を(～に)変える(into),trans(超えて) + lat(運ぶ) → 別の言語へ意味を運ぶ,translation(翻訳) / translator(翻訳者)
503,concentrate,(を)集中する,con(共に) + center(中心) → 一点の中央に集める,concentration(集中・濃度)
504,request,に(…するように)頼む(to do)；を要請する,re(強く) + quest(求める) → 強く求める,
505,criticize,を批判する；を批評する,critic(批評家) + ize(〜にする) → 批評・批判する,criticism(批判・批評) / critical(批判的な・重要な)
506,overcome,を克服する,over(超えて) + come(来る) → 困難を乗り越えて進む,
507,obtain,を得る,ob(〜に向かって) + tain(保つ) → 手に入れて保持する,obtainable(入手可能な)
508,inform,に知らせる；情報を提供する,in(中に) + form(形つくる) → 頭の中に知識の形を作る,information(情報) / informative(ためになる)
509,ensure,を確実にする；を守る,en(〜にする) + sure(確実な) → 確実に安全・実現させる,
510,announce,を発表［公表］する，知らせる；(物事が)を告げる,ad(〜へ) + nounce(伝える) → 人々に向けて知らせを伝える,announcement(発表・告知) / announcer(アナウンサー)
511,grant,(人)に(許可・権利など)を与える；を認める,cred(信じる)が語源 → 認めて与える,
512,freeze,凍る；を凍らせる；(計画・資金など)を凍結する,frost(霜)と同語源,freezer(冷凍庫) / freezing(極寒の)
513,oppose,に反対する；を対抗［対比］させる,ob(向かい合って) + pose(置く) → 正反対の場所に置く,opposition(反対・対立) / opposite(反対の)
514,differ,異なる,dis(離れて) + fer(運ぶ) → 別の方向へ向かって離れる,difference(違い) / different(異なる)
515,hate,をひどく嫌う；を残念に思う,hat(強く憎む)が語源,hatred(憎しみ) / hateful(憎々しい)
516,emphasize,を強調する；を重視する,en(強調) + phas(現れる) → 強く目立たせる,emphasis(強調・重視)
517,employ,を雇う；を使う,in(中に) + ploy(折る・かかわらせる) → 事業の中に引き入れる,employer(雇い主) / employee(従業員) / employment(雇用)
518,credit,(功績など)を(～に)帰する(to)；を信じる,cred(信じる)が語源 → 信用や功績を認める,creditor(債権者) / credible(信用できる)
519,transform,を変える；変わる,trans(超えて・変える) + form(形) → 形をガラリと変える,transformation(変形・変革)
520,construct,を建設する；を構成する,con(共に) + struct(組み立てる) → 材料を組み上げて作る,construction(建設) / constructive(建設的な)
521,arise,生じる,a(湧き起こる) + rise(上がる) → 問題などが立ち上がる,
522,beat,を打ち負かす；(を)打つ，たたたく,beatan(打つ)が語源,beater(打つ人・具)
523,regret,を後悔する,re(再び) + gret(泣く) → 過去を思い出して泣き悲しむ,regretful(後悔している) / regrettable(遺憾な)
524,alter,を変える；変わる,alter(他の・別の) → 別の状態に変える,alteration(変更・改変)
525,absorb,を吸収する；を併合する；を夢中にさせる,ab(離れて) + sorb(すいとる) → 中に吸い込む,absorption(吸収・夢中)
526,disappoint,を失望させる；(希望など)をくじく,dis(取り消し) + appoint(任命する) → 期待を裏切って失望させる,disappointment(失望)
527,cure,を治す；を取り除く；(病気が)治る,cure(手入れ・世話)が語源 → 手当てして治す,curable(治せる)
528,transport,を輸送する；を運ぶ,trans(超えて) + port(運ぶ) → 向こう側へ運ぶ,transportation(輸送機関・輸送)
529,rush,急いで行く；性急に行動する；をせき立てる,hyrse(急ぐ)が語源,
530,hang,を掛ける；を絞首刑にする；垂れ(下が)る,hangen(吊るす)が語源,hanger(ハンガー)
531,blame,を責める；の責任を負わせる,blaspheme(非難する)と同語源,blameless(非のない)
532,ban,を(法的に)禁止する；を締め出す,ban(布告・禁令)が語源,
533,fascinate,を魅了する,fascinum(魔法・呪文) → 魔法をかけたように虜にする,fascination(魅了・魅力) / fascinating(魅力的な)
534,recover,回復する；を取り戻す,re(再び) + cover(覆う・取り戻す) → 再び元の状態を取り戻す,recovery(回復)
535,celebrate,を祝う；を挙行する,celeber(大勢が集まる) → 人が集まって盛大に祝う,celebration(祝賀) / celebrity(有名人)
536,manufacture,を製造する；をでっち上げる,manu(手) + fact(作る) → 手作業で作る,manufacturer(製造業者)
537,interact,影響し合う；相互に作用する,inter(お互いに) + act(行動する) → 相互に働きかける,interaction(相互作用) / interactive(双方向の)
538,arrange,の段取りをつける；を手配する；を配置する,ad(〜へ) + range(列) → 列に並べて整える,arrangement(配置・手配)
539,adjust,を調整する；を適合させる；順応する,ad(〜へ) + just(正しい) → 正しい状態に合わせる,adjustment(調整・順応)
540,confirm,を確認する；を裏づける,con(強く) + firm(確固たる) → 強く確かめて確定させる,confirmation(確認・裏付け)
541,insight,見識，理解(力)；洞察力,in(中に) + sight(見る) → 本質を内側まで見通す目,insightful(洞察力に富んだ)
542,innovation,革新；新機軸,in(中に) + nov(新しい) → 新しいものを導入すること,innovative(革新的な) / innovate(革新する)
543,budget,予算；経費,bougette(革の小さな財布)が語源,budgetary(予算の)
544,fee,料金；謝礼,feoh(家畜・財産)が語源 → 対価として支払う金銭,
545,expense,〔～s〕経費；費用；犠牲,ex(外へ) + pend(重さを測ってお金を支払う) → 払い出す費用,expensive(高価な)
546,debt,借金，負債；恩義,de(離れて) + habere(持つ) → 他人のものを借りている状態,debtor(債務者)
547,loan,貸付金，融資；貸すこと,laen(譲渡する)が語源,
548,duty,義務；〔しばしば～s〕職務；関税,due(支払うべき) + ty → なすべき務め,dutiful(忠実な)
549,alarm,不安，恐れ；警報装置,all'arme(武器を取れ！)という叫びが語源,alarming(驚くべき)
550,emergency,緊急(事態),e(外へ) + merge(沈む) → 水面から突如浮上した非常事態,emergent(緊急の)
551,democracy,民主主義，民主政治；民主国家,demo(民衆) + cracy(支配) → 民衆による統治,democratic(民主的な)
552,minister,大臣；(プロテスタント系の)聖職者,minor(小さい・奉仕する) → 国民に奉仕する役人,ministry(省・省庁)
553,fellow,仲間，同僚；同級生；男,fe(財産) + lag(共有する) → 財産を分かち合う仲間,fellowship(仲間意識・奨学金)
554,candidate,(～の)候補(者)(for)；志願者,candidus(白い) → 古代ローマで白い服を着て立候補した人,candidacy(立候補)
555,corporation,(大)企業；法人,corpus(身体・組織) + ation → 一つの体として作られた組織,corporate(企業の・法人の)
556,stereotype,固定観念；決まり文句,stereo(固まった) + type(型) → 刷り込まれた固い型,stereotypical(型通りの)
557,route,道(筋)；路線，ルート；(～の)手段(to),rupta(切り開かれた道)が語源,
558,disorder,障害，(心身の)不調；混乱,dis(無・反) + order(秩序) → 秩序が乱れた状態,
559,depression,憂うつ；うつ病；不況；低気圧,de(下へ) + press(押す) → 気持ちや景気が下に押し下げられること,depress(落ち込ませる) / depressive(抑うつの)
560,weapon,兵器，武器,waepen(武器)が語源,weaponry(武器類)
561,immigration,(他国からの)移民，移住；入国管理,in(中に) + migrate(移住する) → 国の中へ入ってくる移住,immigrant(移民)
562,barrier,(～に対する)障壁(against / to)；防壁,bar(棒・柵)が語源 → 通行を遮る柵,
563,disadvantage,不利(な点)；障害；(信用などの)損失,dis(打ち消し) + advantage(有利),disadvantaged(恵まれない)
564,mood,気分；機嫌；雰囲気,mod(心・情操)が語源,moody(気分屋の)
565,motion,動き，動作；運動；動議,mot(動く) + ion → 身体やものの動き,motionless(動かない)
566,routine,決まり切った仕事；いつもの手順,route(決まった道) → いつも決まって進む順序,routinely(決まって)
567,discipline,規律，しつけ；訓練；懲戒；学問分野,discipulus(弟子・生徒) → 弟子を鍛える訓練・規律,disciplinary(規律の・訓練の)
568,myth,作り話；神話,mythos(言葉・物語)が語源,mythical(神話上の) / mythology(神話)
569,hypothesis,仮説；憶測,hypo(下に) + thesis(置く) → 議論の土台として下に置く考え,hypothetical(仮説の)
570,physician,【主に米】 医師；内科医,physic(自然・医学) → 自然の理に通じた治療者,physics(物理学)
571,client,顧客；(弁護士などの)依頼人,cli(傾く・頼る) → 守護者に頼ってくる人,clientele(顧客層)
572,colony,植民地；集団居住地,colere(耕す・住む)が語源,colonial(植民地の) / colonize(植民地化する)
573,statistics,統計；統計学,state(国家) → 国家の状況を把握するためのデータ,statistical(統計上の) / statistician(統計学者)
574,grain,穀物；粒；きめ,granum(種子)が語源,grainy(粒状の)
575,ingredient,材料，成分；(成功の)要因,in(中に) + gredi(進む・入る) → 中に入っている構成要素,
576,treasure,宝物，財宝；財産,thesaurus(蓄え)が語源,treasurer(会計担当者) / treasury(国庫・宝物庫)
577,contract,契約(書)；協定,con(共に) + tract(引く) → お互いを引き結ぶ約束,contractor(請負業者)
578,welfare,福祉，幸福,wel(良く) + fare(進む・生活する) → 良く暮らしている状態,
579,prime,主要な，最も重要な；最適な；極上の,primus(第一の)が語源,primary(第一の) / primitive(原始的な)
580,curious,好奇心の強い；奇妙な,cura(関心・注意) → 関心を強く持っている,curiosity(好奇心) / curiously(奇妙なことに)
